vehicle,file,sample_info,age_label,hic_bucket,hic_true,E0_pred,E3_pred,E0_accuracy,E3_accuracy,E3_minus_E0_accuracy,E0_abs_error,E3_abs_error,E3_minus_E0_abs_error,sample_index,n_nodes,n_hard_only_material_nodes,hard_only_material_frac,n_hard_only_vectors_in_sample,hard_only_material_ids_in_sample,hard_only_min_dist_to_hic,hard_only_mean_dist_to_hic,hard_only_median_dist_to_hic,hard_only_top32_nearest_frac,hard_only_nodes_within_60,hard_only_nodes_within_150,hard_only_nodes_within_400,hard_only_frac_within_60,hard_only_frac_within_150,hard_only_frac_within_400
M6,batch_4.feather,A_12__2,Adult,<500,402.4599914550781,288.69793701171875,189.43576049804688,0.717333258314554,0.4706946392687368,-0.2466386190458172,113.76205444335938,213.02423095703125,99.26217651367188,7,16412,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_11_5,Adult,500-1k,575.2000122070312,510.34442138671875,369.44573974609375,0.8872468890056819,0.6422909108234154,-0.24495597818226655,64.8555908203125,205.7542724609375,140.898681640625,13,24232,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,A_10_2,Adult,1k-1.5k,1204.760009765625,878.1051025390625,585.6694946289062,0.7288630892636366,0.4861295941777175,-0.24273349508591913,326.6549072265625,619.0905151367188,292.43560791015625,23,50003,3577,0.07153570785752855,1,1000028,120.85509902418333,228.84807434218072,234.81842429056957,0.0,0,245,3577,0.0,0.0684931506849315,1.0
CY02C,batch_1.feather,A_9_1,Adult,500-1k,978.77001953125,571.4486694335938,334.4476623535156,0.5838436589090361,0.3417019889040823,-0.2421416700049538,407.32135009765625,644.3223876953125,237.00103759765625,15,45719,1443,0.03156237013058028,1,1000028,205.96556548884362,261.8689754988347,264.65767337939064,0.0,0,0,1443,0.0,0.0,1.0
M6,batch_5.feather,A_12_6,Adult,500-1k,764.780029296875,439.776123046875,257.5100402832031,0.5750360969169099,0.3367112508415697,-0.2383248460753402,325.00390625,507.2699890136719,182.26608276367188,23,25793,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_4.feather,A_8__3,Adult,500-1k,846.9500122070312,533.3181762695312,331.5726013183594,0.6296926248100285,0.3914901665262727,-0.2382024582837558,313.6318359375,515.37744140625,201.74560546875,29,38596,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,C_7_2,Child,500-1k,642.239990234375,578.37353515625,426.5850524902344,0.9005567139243105,0.6642144042362718,-0.2363423096880387,63.866455078125,215.65493774414062,151.78848266601562,1,24488,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_3.feather,C_7_8,Child,500-1k,966.510009765625,1070.0540771484375,1447.1412353515625,0.9032347340250834,0.6678753850385758,-0.23535934898650757,103.5440673828125,480.6312255859375,377.087158203125,12,27806,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_3.feather,C_6_8,Child,500-1k,793.8400268554688,1210.66064453125,1886.1278076171875,0.65570812964093,0.4208834754726167,-0.23482465416831327,416.82061767578125,1092.287841796875,675.4672241210938,11,26615,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_11_2,Adult,<500,415.29998779296875,477.26580810546875,263.87786865234375,0.87016497042083,0.6353909858140654,-0.23477398460676457,61.9658203125,151.422119140625,89.456298828125,10,22603,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_4.feather,A_12__3,Adult,<500,334.2300109863281,289.33740234375,211.24179077148438,0.8656834899113399,0.63202520368563,-0.23365828622570994,44.892608642578125,122.98822021484375,78.09561157226562,8,16812,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_4.feather,A_8__2,Adult,500-1k,793.0800170898438,537.4442138671875,352.79913330078125,0.6776670730392433,0.44484683222174104,-0.2328202408175023,255.63580322265625,440.2808837890625,184.64508056640625,28,35926,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,A_10_3,Adult,1k-1.5k,1428.219970703125,934.7338256835938,604.777587890625,0.6544746921746348,0.42344848853561945,-0.23102620363901538,493.48614501953125,823.4423828125,329.95623779296875,24,49304,3270,0.066323219211423,1,1000028,130.45424782054977,232.33571977519375,238.28793675892024,0.0,0,145,3270,0.0,0.04434250764525994,1.0
CY02C,batch_2.feather,A_12_6,Adult,>2k,2711.06005859375,1852.5792236328125,1229.9481201171875,0.6833412700542537,0.45367793170733817,-0.22966333834691555,858.4808349609375,1481.1119384765625,622.631103515625,3,44185,5058,0.11447323752404662,1,1000028,32.986589987530806,185.95367184986077,192.6476706710573,0.875,291,1668,5058,0.05753262158956109,0.32977461447212336,1.0
CY02C,batch_2.feather,A_12_9,Adult,1k-1.5k,1471.3299560546875,4147.6904296875,11134.6845703125,0.35473475684769035,0.13213934770793367,-0.22259540913975667,2676.3603515625,9663.3544921875,6986.994140625,23,27415,2055,0.07495896407076418,1,1000028,103.15240298976,221.32279888666653,228.55101119045383,0.0,0,258,2055,0.0,0.12554744525547445,1.0
CY02C,batch_4.feather,C_6__3,Child,500-1k,724.9199829101562,708.463623046875,551.1029663085938,0.977299067136737,0.7602259274136954,-0.21707313972304154,16.45635986328125,173.8170166015625,157.36065673828125,14,16266,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_3.feather,C_6__8,Child,500-1k,792.010009765625,1292.6986083984375,1991.2325439453125,0.6126795562554752,0.397748626685451,-0.2149309295700242,500.6885986328125,1199.2225341796875,698.533935546875,24,26763,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_3.feather,C_8_8,Child,500-1k,983.52001953125,1043.591552734375,1347.5745849609375,0.9424376969651316,0.7298445893143344,-0.2125931076507972,60.071533203125,364.0545654296875,303.9830322265625,14,33240,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
M6,batch_5.feather,A_12_5,Adult,<500,438.0299987792969,320.54681396484375,227.52420043945312,0.7317919203208557,0.5194260691585466,-0.2123658511623091,117.48318481445312,210.50579833984375,93.02261352539062,22,20605,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_1.feather,C_8_5,Child,500-1k,882.1500244140625,789.9921875,604.0559692382812,0.8955304263860615,0.6847542396651912,-0.21077618672087028,92.1578369140625,278.09405517578125,185.93621826171875,12,38815,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_4.feather,C_8__5,Child,1k-1.5k,1035.949951171875,781.5767211914062,563.7552490234375,0.7544541319851218,0.5441915880064602,-0.21026254397866162,254.37322998046875,472.1947021484375,217.82147216796875,32,41315,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
CY02C,batch_4.feather,A_9__2,Adult,500-1k,968.9500122070312,594.3053588867188,396.3623352050781,0.6133498646984239,0.40906375995833016,-0.20428610474009373,374.6446533203125,572.587646484375,197.9429931640625,36,54902,1314,0.023933554333175476,1,1000028,212.19130972996592,264.8587042726669,267.50828866934637,0.0,0,0,1314,0.0,0.0,1.0
CY02C,batch_4.feather,C_7__2,Child,500-1k,663.1699829101562,627.8696899414062,492.81610107421875,0.946770369771799,0.7431218447367266,-0.20364852503507236,35.30029296875,170.3538818359375,135.0535888671875,21,24538,0,0.0,0,,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0
