vehicle,group,file,sample_index,sample_info,n_nodes,bbox_x,bbox_y,bbox_z,bbox_diag,hic_rel_x,hic_rel_y,hic_rel_z,hic_center_dist_norm,hic_value,age_group,age_label
EP32,normal,batch_3.feather,33,C_3__5,76977,575.1953690052032,594.3469085693359,366.8487854003906,904.8071571338836,0.4843240447075317,0.4990677674670381,0.8127185474477902,0.12718240915705353,747.17,0,Child
EP32,normal,batch_3.feather,34,C_3__6,82817,567.5856761932373,576.1283264160156,352.16905212402344,882.099988432483,0.47640518522216285,0.47971485979596057,0.8407842857338012,0.13753856277512436,891.77,0,Child
EP32,normal,batch_3.feather,35,C_3__7,84340,560.4197235107422,520.52392578125,357.68531799316406,844.3661590319995,0.46570277060328386,0.4250408992885728,0.8361521496153053,0.15142963800867826,905.3,0,Child
EP32,normal,batch_3.feather,36,C_4__1,32667,585.1739654541016,597.6388702392578,297.41371154785156,887.7250164790914,0.4914871449198579,0.5007931577583355,0.8319051884650516,0.111340677766136,532.01,0,Child
EP32,normal,batch_4.feather,0,C_4__2,37891,586.014030456543,599.2095642089844,339.54112243652344,904.2968094364246,0.4898952674470068,0.49954150514531853,0.8478465741985647,0.13077220062994027,516.8,0,Child
EP32,normal,batch_4.feather,1,C_4__3,43360,585.4773254394531,595.7883052825928,350.79209899902344,905.9815119721704,0.488992835562876,0.5032771136806529,0.8460632137606373,0.13420014900170218,666.22,0,Child
EP32,normal,batch_4.feather,2,C_4__4,48320,583.7093811035156,595.8325729370117,347.6343688964844,903.6496837818545,0.48930884625069127,0.5024818953512162,0.8611512083158516,0.1391161564861546,598.21,0,Child
EP32,normal,batch_4.feather,3,C_4__5,62342,587.2980041503906,596.6863708496094,351.22117614746094,907.9151311720251,0.4914521609921754,0.49810602059217834,0.8310283416853531,0.128181563934757,733.93,0,Child
EP32,normal,batch_4.feather,4,C_4__6,74572,584.7181015014648,580.2688903808594,351.68426513671875,895.7059035822333,0.48780990688761144,0.4839936108890855,0.8478828409016465,0.13721449380922582,699.95,0,Child
EP32,normal,batch_4.feather,5,C_2_0,51665,565.4538879394531,599.19189453125,361.1873321533203,899.5695163609231,0.48166045353532577,0.5001014549949337,0.8193750529170726,0.12874984119594005,476.74,0,Child
EP32,normal,batch_4.feather,6,C_4__7,75323,576.8445358276367,524.0611267089844,344.5563659667969,852.1201631049092,0.4813959142716557,0.4279524714963119,0.8685979010454593,0.15599955539908625,910.27,0,Child
EP32,normal,batch_4.feather,7,C_4__8,82716,577.9637832641602,431.89642333984375,384.45098876953125,817.5446275431334,0.48120699250855115,0.3117251922607695,0.7778989100180349,0.16476399872892336,2180.63,0,Child
